date,asymmetry_pct_avg,asymmetry_pct_min,asymmetry_pct_max,count
2024-10-04,0.019444444444444445,0.0,0.19,36
2024-10-05,0.014705882352941176,0.0,0.15,34
2024-10-06,0.030666666666666665,0.0,0.18,15
2024-10-08,0.024761904761904763,0.0,0.14,21
2024-10-09,0.02689655172413793,0.0,0.23,29
2024-10-10,0.0203448275862069,0.0,0.27,29
2024-10-11,0.045,0.0,0.33,26
2024-10-12,0.008823529411764707,0.0,0.08,17
2024-10-13,0.015,0.0,0.15,10
2024-10-14,0.06290322580645161,0.0,0.59,31
2024-10-15,0.008518518518518517,0.0,0.18,27
2024-10-16,0.02435897435897436,0.0,0.27,39
2024-10-17,0.02111111111111111,0.0,0.12,27
2024-10-18,0.047142857142857146,0.0,0.32,14
2024-10-19,0.005833333333333334,0.0,0.04,12
2024-10-20,0.14666666666666667,0.0,0.42,12
2024-10-21,0.0,0.0,0.0,13
2024-10-22,0.01916666666666667,0.0,0.17,24
2024-10-23,0.014000000000000002,0.0,0.08,10
2024-10-24,0.013333333333333334,0.0,0.08,15
2024-10-25,0.01,0.0,0.13,38
2024-10-26,0.0385,0.0,0.3,20
2024-10-27,0.015,0.0,0.06,4
2024-10-28,0.030000000000000002,0.0,0.18,18
2024-10-29,0.029375000000000002,0.0,0.2,16
2024-10-30,0.018125000000000002,0.0,0.08,16
2024-10-31,0.016842105263157894,0.0,0.13,19
2024-11-01,0.052000000000000005,0.0,0.8,20
2024-11-02,0.046,0.0,0.2,10
2024-11-03,0.07666666666666667,0.0,0.64,9
2024-11-04,0.011333333333333334,0.0,0.16,30
2024-11-05,0.02648148148148148,0.0,0.29,54
2024-11-06,0.0075000000000000015,0.0,0.07,20
2024-11-07,0.0,0.0,0.0,9
2024-11-08,0.016666666666666666,0.0,0.18,18
2024-11-09,0.018181818181818184,0.0,0.16,11
2024-11-10,0.034999999999999996,0.0,0.36,20
2024-11-11,0.010416666666666666,0.0,0.07,24
2024-11-12,0.026842105263157896,0.0,0.15,19
2024-11-13,0.0392,0.0,0.15,25
2024-11-14,0.042499999999999996,0.0,0.33,28
2024-11-15,0.02611111111111111,0.0,0.2,18
2024-11-16,0.06333333333333334,0.0,0.24,27
2024-11-17,0.0096,0.0,0.08,25
2024-11-18,0.018965517241379314,0.0,0.18,29
2024-11-19,0.016666666666666666,0.0,0.1,24
2024-11-20,0.07809523809523809,0.0,0.57,42
2024-11-21,0.013478260869565217,0.0,0.08,23
2024-11-22,0.0125,0.0,0.14,32
2024-11-23,0.019655172413793102,0.0,0.15,29
2024-11-24,0.020350877192982456,0.0,0.18,57
2024-11-25,0.019736842105263157,0.0,0.15,38
2024-11-26,0.015510204081632653,0.0,0.09,49
2024-11-27,0.007916666666666667,0.0,0.04,24
2024-11-28,0.007027027027027027,0.0,0.08,37
2024-11-29,0.0028125,0.0,0.06,32
2024-11-30,0.01775,0.0,0.22,80
2024-12-01,0.045526315789473686,0.0,0.31,38
2024-12-02,0.0295,0.0,0.39,40
2024-12-03,0.0,0.0,0.0,30
2024-12-04,0.07135135135135136,0.0,0.63,37
2024-12-05,0.045454545454545456,0.0,0.4,22
2024-12-06,0.003076923076923077,0.0,0.04,13
2024-12-07,0.04588235294117647,0.0,0.33,17
2024-12-08,0.007777777777777778,0.0,0.07,9
2024-12-09,0.009354838709677418,0.0,0.12,31
2024-12-10,0.012173913043478262,0.0,0.09,23
2024-12-11,0.014444444444444446,0.0,0.09,27
2024-12-12,0.02956521739130435,0.0,0.13,23
2024-12-13,0.014666666666666666,0.0,0.08,30
2024-12-14,0.05,0.0,0.4,37
2024-12-15,0.014117647058823528,0.0,0.08,17
2024-12-16,0.02333333333333333,0.0,0.18,30
2024-12-17,0.012432432432432434,0.0,0.14,37
2024-12-18,0.0044444444444444444,0.0,0.04,9
2024-12-19,0.015000000000000001,0.0,0.17,28
2024-12-20,0.02,0.0,0.14,23
2024-12-21,0.03925373134328358,0.0,0.37,67
2024-12-22,0.021,0.0,0.08,10
2024-12-23,0.004666666666666667,0.0,0.04,15
2024-12-24,0.07333333333333333,0.0,0.5,15
2024-12-25,0.0,0.0,0.0,19
2024-12-26,0.01125,0.0,0.1,16
2024-12-27,0.0325,0.0,0.13,8
2024-12-28,0.017222222222222222,0.0,0.19,54
2024-12-29,0.0304,0.0,0.27,25
2024-12-30,0.008095238095238095,0.0,0.12,21
2024-12-31,0.0058823529411764705,0.0,0.05,17
2025-01-01,0.02,0.0,0.09,11
2025-01-02,0.0365,0.0,0.64,20
2025-01-03,0.005454545454545454,0.0,0.04,11
2025-01-04,0.013333333333333334,0.0,0.07,9
2025-01-05,0.02820512820512821,0.0,0.33,39
2025-01-06,0.010869565217391304,0.0,0.07,23
2025-01-07,0.009375,0.0,0.08,16
2025-01-08,0.012777777777777779,0.0,0.07,18
2025-01-09,0.022608695652173914,0.0,0.1,23
2025-01-10,0.021153846153846155,0.0,0.36,26
2025-01-11,0.016,0.0,0.08,5
2025-01-12,0.05333333333333333,0.0,0.23,9
2025-01-13,0.00375,0.0,0.04,16
2025-01-14,0.051176470588235295,0.0,0.43,17
2025-01-15,0.051666666666666666,0.0,0.8,24
2025-01-16,0.013529411764705884,0.0,0.08,17
2025-01-17,0.006666666666666666,0.0,0.12,21
2025-01-18,0.1383333333333333,0.0,0.87,18
2025-01-19,0.011666666666666667,0.0,0.05,6
2025-01-20,0.0152,0.0,0.13,25
2025-01-21,0.008636363636363636,0.0,0.09,22
2025-01-22,0.053500000000000006,0.0,0.5,20
2025-01-23,0.15714285714285717,0.0,0.64,7
2025-01-24,0.02388888888888889,0.0,0.17,18
2025-01-25,0.08,0.0,0.62,11
2025-01-26,0.031,0.0,0.11,10
2025-01-28,0.0325,0.0,0.13,4
2025-01-29,0.026875,0.0,0.15,16
2025-01-31,0.05666666666666667,0.0,0.29,54
2025-02-01,0.008285714285714287,0.0,0.1,35
2025-02-03,0.020555555555555556,0.0,0.25,18
2025-02-04,0.045,0.0,0.26,10
2025-02-05,0.12478260869565218,0.0,0.88,23
2025-02-06,0.0375,0.0,0.14,8
2025-02-07,0.065,0.0,0.4,10
2025-02-08,0.008,0.0,0.05,15
2025-02-09,0.0325,0.0,0.21,8
2025-02-10,0.009999999999999998,0.0,0.09,29
2025-02-11,0.00823529411764706,0.0,0.08,17
2025-02-12,0.042105263157894736,0.0,0.33,19
2025-02-13,0.00875,0.0,0.07,8
2025-02-14,0.00875,0.0,0.07,16
2025-02-15,0.00818181818181818,0.0,0.06,11
2025-02-16,0.04818181818181819,0.0,0.3,11
2025-02-17,0.0745,0.0,0.5,20
2025-02-18,0.02,0.0,0.14,13
2025-02-19,0.01846153846153846,0.0,0.09,26
2025-02-20,0.04294117647058823,0.0,0.23,17
2025-02-21,0.011578947368421053,0.0,0.1,19
2025-02-22,0.00625,0.0,0.05,16
2025-02-23,0.009090909090909092,0.0,0.1,11
2025-02-24,0.09703703703703705,0.0,0.92,27
2025-02-25,0.005833333333333334,0.0,0.05,24
2025-02-26,0.013333333333333332,0.0,0.11,18
2025-02-27,0.016666666666666666,0.0,0.09,27
2025-02-28,0.02416666666666667,0.0,0.13,12
2025-03-01,0.013846153846153845,0.0,0.08,13
2025-03-02,0.0584,0.0,0.6,25
2025-03-03,0.014827586206896552,0.0,0.15,29
2025-03-04,0.009999999999999998,0.0,0.09,23
2025-03-05,0.009090909090909092,0.0,0.07,22
2025-03-06,0.010238095238095237,0.0,0.2,42
2025-03-07,0.0108,0.0,0.13,25
2025-03-08,0.024655172413793103,0.0,0.19,58
2025-03-09,0.09133333333333334,0.0,0.4,15
2025-03-10,0.00956521739130435,0.0,0.08,23
2025-03-11,0.015185185185185184,0.0,0.09,27
2025-03-12,0.05545454545454545,0.0,0.36,22
2025-03-13,0.034482758620689655,0.0,0.23,29
2025-03-14,0.005555555555555556,0.0,0.07,18
2025-03-15,0.023636363636363636,0.0,0.1,11
2025-03-16,0.02277777777777778,0.0,0.2,18
2025-03-17,0.007222222222222223,0.0,0.08,18
2025-03-18,0.05190476190476191,0.0,0.38,21
2025-03-19,0.006666666666666667,0.0,0.1,24
2025-03-20,0.022962962962962963,0.0,0.09,27
2025-03-21,0.002777777777777778,0.0,0.02,18
2025-03-22,0.06266666666666666,0.0,0.31,15
2025-03-23,0.019705882352941177,0.0,0.15,34
2025-03-24,0.014615384615384615,0.0,0.08,26
2025-03-25,0.009166666666666667,0.0,0.04,12
2025-03-26,0.0,0.0,0.0,18
2025-03-27,0.02792452830188679,0.0,0.33,53
2025-03-28,0.013157894736842105,0.0,0.09,19
2025-03-29,0.04111111111111111,0.0,0.31,9
2025-03-30,0.004705882352941177,0.0,0.08,17
2025-03-31,0.012580645161290323,0.0,0.14,31
2025-04-01,0.007142857142857143,0.0,0.06,21
2025-04-02,0.06631578947368422,0.0,0.63,19
2025-04-03,0.024000000000000004,0.0,0.4,25
2025-04-04,0.03340425531914894,0.0,0.33,47
2025-04-05,0.03512820512820513,0.0,0.25,78
2025-04-06,0.06823529411764706,0.0,0.42,17
2025-04-07,0.02095238095238095,0.0,0.23,21
2025-04-08,0.01793103448275862,0.0,0.16,29
2025-04-09,0.072,0.0,0.9,20
2025-04-10,0.020967741935483872,0.0,0.13,31
2025-04-11,0.054838709677419356,0.0,0.21,31
2025-04-12,0.0,0.0,0.0,5
2025-04-13,0.012222222222222225,0.0,0.07,9
2025-04-14,0.006153846153846154,0.0,0.04,26
2025-04-15,0.018000000000000002,0.0,0.13,20
2025-04-16,0.027083333333333334,0.0,0.19,24
2025-04-17,0.0068000000000000005,0.0,0.1,25
2025-04-18,0.006666666666666667,0.0,0.05,24
2025-04-19,0.011190476190476192,0.0,0.1,42
2025-04-20,0.010666666666666666,0.0,0.06,15
2025-04-21,0.0026666666666666666,0.0,0.04,15
2025-04-22,0.0203448275862069,0.0,0.2,29
2025-04-23,0.042352941176470586,0.0,0.25,17
2025-04-24,0.014571428571428572,0.0,0.27,35
2025-04-25,0.00896551724137931,0.0,0.15,29
2025-04-26,0.08192307692307692,0.0,0.33,26
2025-04-27,0.016842105263157894,0.0,0.18,19
2025-04-28,0.0184375,0.0,0.16,32
2025-04-29,0.007142857142857143,0.0,0.11,49
2025-04-30,0.018611111111111113,0.0,0.27,36
2025-05-01,0.062,0.0,0.11,5
2025-05-02,0.014117647058823528,0.0,0.06,17
2025-05-03,0.028923076923076926,0.0,0.46,65
2025-05-04,0.04,0.0,0.64,36
2025-05-05,0.06416666666666666,0.0,0.31,12
2025-05-06,0.036000000000000004,0.0,0.34,15
2025-05-07,0.031578947368421054,0.0,0.4,19
2025-05-08,0.011111111111111112,0.0,0.1,36
2025-05-09,0.012777777777777779,0.0,0.09,18
2025-05-10,0.012121212121212121,0.0,0.1,33
2025-05-11,0.012258064516129033,0.0,0.17,31
2025-05-12,0.004583333333333333,0.0,0.09,24
2025-05-13,0.012432432432432434,0.0,0.1,37
2025-05-14,0.011111111111111112,0.0,0.09,27
2025-05-15,0.038421052631578946,0.0,0.25,19
2025-05-16,0.019583333333333335,0.0,0.2,24
2025-05-17,0.016,0.0,0.03,5
2025-05-18,0.01888888888888889,0.0,0.13,9
2025-05-19,0.027500000000000004,0.0,0.09,20
2025-05-20,0.01129032258064516,0.0,0.19,31
2025-05-21,0.010476190476190476,0.0,0.07,21
2025-05-22,0.04090909090909091,0.0,0.15,11
2025-05-23,0.015666666666666666,0.0,0.21,30
2025-05-24,0.004333333333333333,0.0,0.04,30
2025-05-25,0.008684210526315789,0.0,0.15,38
2025-05-26,0.015909090909090907,0.0,0.19,44
2025-05-27,0.020476190476190474,0.0,0.3,21
2025-05-28,0.013888888888888888,0.0,0.1,18
2025-05-29,0.026842105263157896,0.0,0.21,19
2025-05-30,0.02142857142857143,0.0,0.17,21
2025-05-31,0.0,0.0,0.0,5
2025-06-01,0.019090909090909092,0.0,0.17,11
2025-06-03,0.012727272727272728,0.0,0.13,22
2025-06-04,0.03461538461538462,0.0,0.31,26
2025-06-05,0.01375,0.0,0.09,24
2025-06-06,0.007777777777777778,0.0,0.1,18
2025-06-07,0.028000000000000004,0.0,0.14,5
2025-06-08,0.0,0.0,0.0,4
2025-06-09,0.02375,0.0,0.17,16
2025-06-10,0.008636363636363636,0.0,0.1,22
2025-06-11,0.0092,0.0,0.09,25
2025-06-12,0.012941176470588235,0.0,0.22,17
2025-06-13,0.030882352941176472,0.0,0.43,34
2025-06-14,0.0,0.0,0.0,9
2025-06-15,0.018636363636363635,0.0,0.15,22
2025-06-16,0.02625,0.0,0.13,24
2025-06-17,0.04060606060606061,0.0,0.29,33
2025-06-18,0.0072,0.0,0.08,25
2025-06-19,0.0095,0.0,0.17,20
2025-06-20,0.021578947368421055,0.0,0.18,19
2025-06-21,0.125,0.0,0.36,16
2025-06-22,0.030454545454545456,0.0,0.18,22
2025-06-23,0.0085,0.0,0.1,20
