date,steps
2025-04-20,10473.0
2025-04-21,14346.0
2025-04-22,15034.0
2025-04-23,20923.0
2025-04-24,22362.0
2025-04-25,19398.0
2025-04-26,18256.0
2025-04-27,16995.0
2025-04-28,15207.0
2025-04-29,26020.0
2025-04-30,25469.0
2025-05-01,6683.0
2025-05-02,18152.0
2025-05-03,35194.0
2025-05-04,27513.0
2025-05-05,19576.0
2025-05-06,12209.0
2025-05-07,14325.0
2025-05-08,27340.0
2025-05-09,10811.0
2025-05-10,19796.0
2025-05-11,35898.0
2025-05-12,18486.0
2025-05-13,20105.0
2025-05-14,17214.0
2025-05-15,20954.0
2025-05-16,14507.0
2025-05-17,8525.0
2025-05-18,9655.0
2025-05-19,16434.0
2025-05-20,17647.0
2025-05-21,16296.0
2025-05-22,15191.0
2025-05-23,16097.0
2025-05-24,21871.0
2025-05-25,14015.0
2025-05-26,21598.0
2025-05-27,10855.0
2025-05-28,17042.0
2025-05-29,13056.0
2025-05-30,14129.0
2025-05-31,5164.0
2025-06-01,9616.0
2025-06-02,5164.0
2025-06-03,12839.0
2025-06-04,15187.0
2025-06-05,12338.0
2025-06-06,6877.0
2025-06-07,5237.0
2025-06-08,6548.0
2025-06-09,11691.0
2025-06-10,12085.0
2025-06-11,17825.0
2025-06-12,15816.0
2025-06-13,21019.0
2025-06-14,10802.0
2025-06-15,14447.0
2025-06-16,13615.0
2025-06-17,11329.0
2025-06-18,14023.0
2025-06-19,17888.0
2025-06-20,12504.0
2025-06-21,12402.0
2025-06-22,16900.0
2025-06-23,9246.0
2025-06-24,22069.0
2025-06-25,17351.0
2025-06-26,17429.0
2025-06-27,7783.0
2025-06-28,22464.0
2025-06-29,7474.0
2025-06-30,13532.0
2025-07-01,24720.0
2025-07-02,9669.0
2025-07-03,11759.0
2025-07-04,5952.0
2025-07-05,8748.0
2025-07-06,7671.0
2025-07-07,8369.0
2025-07-08,16723.0
2025-07-09,15677.0
2025-07-10,14509.0
2025-07-11,10446.0
2025-07-12,21923.0
2025-07-13,17911.0
2025-07-14,18573.0
2025-07-15,11845.0
2025-07-16,14523.0
2025-07-17,21432.0
2025-07-18,11472.0
2025-07-19,12003.0
2025-07-20,4845.0
2025-07-21,15910.0
2025-07-22,14546.0
2025-07-23,8653.0
2025-07-24,19755.0
2025-07-25,11411.0
2025-07-26,22240.0
2025-07-27,5576.0
2025-07-28,9370.0
2025-07-29,10335.0
2025-07-30,10260.0
2025-07-31,13965.0
2025-08-01,8752.0
2025-08-02,19825.0
2025-08-03,12671.0
2025-08-04,7180.0
2025-08-05,12265.0
2025-08-06,15115.0
2025-08-07,7023.0
2025-08-08,18861.0
2025-08-09,6111.0
2025-08-10,9796.0
2025-08-11,8086.0
2025-08-12,7085.0
2025-08-13,9453.0
2025-08-14,15233.0
2025-08-15,7909.0
2025-08-16,11246.0
2025-08-17,12753.0
2025-08-18,13804.0
2025-08-19,14337.0
2025-08-20,14169.0
2025-08-21,14487.0
2025-08-22,13200.0
2025-08-23,63006.0
2025-08-24,18552.0
2025-08-25,3738.0
2025-08-26,7431.0
2025-08-27,7033.0
2025-08-28,8521.0
2025-08-29,8428.0
2025-08-30,2299.0
2025-08-31,5241.0
2025-09-01,6985.0
2025-09-02,14955.0
2025-09-03,14608.0
2025-09-04,10874.0
2025-09-05,20255.0
2025-09-06,22405.0
2025-09-07,7655.0
2025-09-08,9518.0
2025-09-09,14573.0
2025-09-10,13001.0
2025-09-11,12841.0
2025-09-12,17248.0
2025-09-13,17744.0
2025-09-14,7016.0
2025-09-15,15920.0
2025-09-16,19738.0
2025-09-17,16867.0
2025-09-18,16044.0
2025-09-19,19310.0
2025-09-20,7635.0
2025-09-21,9409.0
2025-09-22,15204.0
2025-09-23,17740.0
2025-09-24,2326.0
2025-09-25,17383.0
2025-09-26,20839.0
2025-09-27,7533.0
2025-09-28,25826.0
2025-09-29,14967.0
2025-09-30,17109.0
2025-10-01,7997.0
2025-10-02,2363.0
2025-10-03,17262.0
2025-10-04,5369.0
2025-10-05,3355.0
2025-10-06,24261.0
2025-10-07,31879.0
2025-10-08,15203.0
2025-10-09,15143.0
2025-10-10,13731.0
2025-10-11,16352.0
2025-10-12,10307.0
2025-10-13,19497.0
2025-10-14,19649.0
2025-10-15,24008.0
2025-10-16,24773.0
2025-10-17,10648.0
2025-10-18,15541.0
2025-10-19,9980.0
2025-10-20,21030.0
2025-10-21,18283.0
2025-10-22,25463.0
2025-10-23,15817.0
2025-10-24,13455.0
2025-10-25,25534.0
2025-10-26,9183.0
2025-10-27,17202.0
2025-10-28,17012.0
2025-10-29,16929.0
2025-10-30,13211.0
2025-10-31,13847.0
2025-11-01,27478.0
2025-11-02,30907.0
2025-11-03,13006.0
2025-11-04,24231.0
2025-11-05,23605.0
2025-11-06,15788.0
2025-11-07,14985.0
2025-11-08,59126.0
2025-11-09,7412.0
2025-11-10,17148.0
2025-11-11,10497.0
2025-11-12,14760.0
2025-11-13,10708.0
2025-11-14,7694.0
2025-11-15,7072.0
2025-11-16,6222.0
2025-11-17,14319.0
2025-11-18,12312.0
2025-11-19,19094.0
2025-11-20,16035.0
2025-11-21,12608.0
2025-11-22,17067.0
2025-11-23,11936.0
2025-11-24,15938.0
2025-11-25,18391.0
2025-11-26,21303.0
2025-11-27,25057.0
2025-11-28,16297.0
2025-11-29,27932.0
2025-11-30,17803.0
2025-12-01,16923.0
2025-12-02,21232.0
2025-12-03,18069.0
2025-12-04,21535.0
2025-12-05,12064.0
2025-12-06,6710.0
2025-12-07,12258.0
2025-12-08,15032.0
2025-12-09,19025.0
2025-12-10,20476.0
2025-12-11,19182.0
2025-12-12,20427.0
2025-12-13,13549.0
2025-12-14,20507.0
2025-12-15,22535.0
2025-12-16,14749.0
2025-12-17,22114.0
2025-12-18,13024.0
2025-12-19,13330.0
2025-12-20,31729.0
2025-12-21,9532.0
2025-12-22,16465.0
2025-12-23,20708.0
2025-12-24,14741.0
